trigram,count
NOUN SCONJ ADP,8223
SCONJ ADP DET,18526
NOUN VERB PUNCT,94504
ADV PUNCT ADV,18322
NOUN PRON VERB,133538
CCONJ ADV PRON,4556
PRON VERB SCONJ,27973
SCONJ DET AUX,6225
DET AUX DET,24686
AUX DET VERB,13680
DET VERB PUNCT,10989
VERB ADP ADV,26095
ADP ADV CCONJ,1342
ADV CCONJ ADV,8993
PRON PUNCT CCONJ,10174
VERB ADV DET,10676
ADV DET NOUN,51831
NOUN PART ADV,9677
PRON ADP DET,43862
PUNCT PRON ADV,58527
PRON ADV AUX,9318
ADV AUX DET,14953
DET ADJ VERB,24852
PRON PRON DET,471
PRON DET VERB,2714
DET VERB DET,35104
NOUN ADP NUM,282893
ADP NUM NOUN,218787
NUM NOUN PUNCT,301987
PART VERB PART,13283
PART AUX PRON,4270
AUX PRON PRON,2807
ADV ADV PRON,1538
ADV ADJ PART,12022
ADJ PART AUX,6878
PART AUX ADJ,20008
AUX ADJ PART,39527
PART AUX DET,28373
DET PUNCT PUNCT,3926
ADP PROPN DET,16811
PROPN DET VERB,9165
ADP ADJ CCONJ,27299
ADV PUNCT ADJ,25653
NOUN NOUN ADJ,63712
NOUN ADJ PUNCT,30205
ADJ PUNCT DET,35475
ADP PROPN NOUN,122497
VERB DET NUM,35223
DET NUM NOUN,104298
NUM ADP ADP,6514
ADP ADP NUM,29283
ADP NUM PUNCT,363328
NUM PUNCT VERB,98363
NOUN PART NOUN,127625
VERB NOUN ADJ,13336
NOUN ADJ NOUN,97654
PUNCT AUX PRON,5578
ADP PUNCT VERB,12495
ADP ADV ADV,6456
ADV ADV PUNCT,37785
ADV PUNCT PUNCT,27904
VERB SCONJ PUNCT,17840
SCONJ PUNCT DET,5544
PROPN VERB ADV,26969
ADV ADV ADP,68369
PUNCT ADV ADV,48786
PUNCT VERB NUM,66505
VERB NUM ADJ,17544
NUM ADJ NOUN,110523
AUX DET ADV,19454
CCONJ VERB SCONJ,12603
VERB SCONJ PROPN,44584
SCONJ PROPN PROPN,28836
ADJ PUNCT SCONJ,10725
PUNCT SCONJ ADV,9224
SCONJ ADV VERB,4801
PUNCT PUNCT SCONJ,26899
PUNCT SCONJ PART,3698
SCONJ PART VERB,6521
PROPN PART PROPN,141561
PART PROPN PROPN,70849
PUNCT DET ADV,32911
DET ADV DET,470
ADV DET PUNCT,1474
DET PUNCT DET,5452
ADJ PUNCT ADJ,83519
PUNCT ADJ VERB,9207
ADJ VERB ADJ,5289
CCONJ VERB ADJ,29435
ADP DET ADV,48919
DET ADV PUNCT,22065
DET ADJ NUM,42617
ADJ NUM PUNCT,25078
ADV PUNCT PRON,46508
NOUN PART ADJ,39959
ADV PUNCT PART,2380
NOUN ADP CCONJ,11148
ADP CCONJ VERB,7556
NUM PUNCT PUNCT,476177
PRON AUX NUM,24854
AUX NUM NOUN,33931
CCONJ VERB PUNCT,22562
PUNCT PUNCT X,15634
PUNCT X X,10433
X X X,6274
X X NOUN,3859
X NOUN VERB,1466
NOUN VERB NOUN,180469
VERB NOUN NUM,10017
NOUN NUM ADP,27338
ADJ NOUN PRON,72414
PRON PUNCT PUNCT,18848
PUNCT SCONJ VERB,20025
SCONJ VERB DET,9942
NOUN ADV ADV,29449
PRON ADP ADV,1528
ADP ADV PUNCT,14905
ADP PUNCT DET,28482
PUNCT DET PROPN,432658
ADJ PUNCT PRON,26577
PRON VERB PROPN,49401
ADJ PUNCT AUX,4823
ADP PRON AUX,41536
NUM CCONJ NUM,46804
PUNCT NOUN NUM,137421
NOUN NUM VERB,7570
NUM VERB PRON,2476
VERB PRON VERB,25497
PRON VERB ADJ,42504
NOUN ADP SCONJ,6911
ADP SCONJ PRON,6652
CCONJ SCONJ PRON,11637
VERB PUNCT VERB,39928
PUNCT VERB PART,20306
PART VERB PUNCT,58387
PROPN PROPN AUX,203218
VERB ADP SCONJ,8408
ADP SCONJ NOUN,1549
SCONJ NOUN PUNCT,5198
PUNCT VERB SCONJ,32012
NUM NOUN DET,12951
NOUN DET ADJ,29830
ADJ NOUN NUM,20126
NOUN NUM PART,1600
NUM PART PROPN,1480
PART PROPN PART,1876
PART PROPN VERB,3258
AUX ADP ADP,1843
ADJ NOUN ADJ,44059
NOUN ADJ ADP,70978
ADJ ADP NOUN,65996
ADP VERB CCONJ,7553
VERB CCONJ NOUN,8411
NOUN PUNCT AUX,76476
PUNCT AUX PART,15144
VERB PUNCT PART,3552
PUNCT PART ADV,4139
PART ADV AUX,2964
ADV AUX PROPN,1319
AUX PROPN VERB,2127
VERB ADV ADP,116230
NOUN NOUN ADV,37110
VERB ADP VERB,64545
NOUN ADV CCONJ,6440
ADV PUNCT CCONJ,17506
CCONJ AUX PART,13478
ADP PUNCT CCONJ,6465
VERB DET PUNCT,23450
DET PUNCT VERB,4933
PART NOUN PART,11424
NOUN PART AUX,27012
PART AUX PUNCT,4312
ADV VERB SCONJ,25475
VERB SCONJ NOUN,20524
SCONJ NOUN VERB,11739
PUNCT AUX ADV,24707
PART NOUN CCONJ,22381
DET NOUN DET,40835
NOUN DET NUM,3997
DET NUM ADP,5547
VERB DET ADP,15383
DET ADP PROPN,10298
PROPN NUM PART,4239
NUM PART ADJ,722
VERB PROPN DET,9621
PROPN DET NOUN,35689
ADP ADP PROPN,37563
NUM PUNCT ADV,34078
PROPN AUX AUX,34287
AUX AUX NOUN,4965
AUX NOUN SYM,90
NOUN SYM NOUN,15914
SYM NOUN ADV,213
NOUN ADV PART,2656
ADP NOUN DET,15739
NOUN DET NOUN,73475
PRON AUX CCONJ,1503
AUX CCONJ DET,821
PUNCT ADP PUNCT,41327
PUNCT PUNCT ADP,117859
PUNCT ADP NUM,190969
NUM PUNCT PROPN,502036
PROPN VERB PUNCT,56609
AUX ADV NUM,9412
ADV NUM NOUN,43604
NUM NOUN VERB,54827
AUX AUX AUX,8780
AUX AUX PART,2885
ADJ NOUN PART,80323
NOUN SCONJ SCONJ,3220
SCONJ SCONJ DET,5127
NOUN VERB NUM,35343
PUNCT VERB ADV,30922
VERB ADV PUNCT,55057
PUNCT PRON NOUN,202426
VERB NUM NUM,14771
NUM NUM NOUN,98991
VERB DET PRON,2706
DET PRON VERB,20403
SCONJ PRON ADV,8123
CCONJ DET PRON,1433
PUNCT AUX NUM,4351
AUX NUM NUM,1507
NUM NUM PUNCT,84789
VERB DET ADV,20704
NUM NOUN SCONJ,4862
NOUN SCONJ VERB,13525
SCONJ VERB PUNCT,4296
VERB NOUN DET,13631
CCONJ PRON ADJ,12019
DET PUNCT PROPN,31499
PROPN PUNCT NUM,666917
PUNCT NUM NOUN,182267
DET ADJ PROPN,146262
ADJ PROPN PROPN,173284
PRON PRON NOUN,22456
PROPN PROPN NOUN,494657
PROPN PUNCT ADJ,173982
PUNCT ADJ ADJ,78642
PROPN PUNCT NOUN,453413
ADP NOUN CCONJ,144463
DET PROPN ADP,263121
PUNCT PUNCT NOUN,216207
PUNCT PUNCT PUNCT,466614
PUNCT PUNCT PART,4978
PART VERB CCONJ,20647
NOUN AUX ADJ,97817
VERB VERB NOUN,43584
PROPN NOUN CCONJ,44603
PROPN NOUN NOUN,273521
NOUN NOUN NUM,61568
NOUN NUM NUM,62711
NUM NOUN NOUN,148824
NUM NOUN NUM,110347
NOUN NUM NOUN,99302
NUM NUM PROPN,260235
NUM PROPN NUM,381410
PROPN NUM PROPN,393888
NUM PROPN PUNCT,143414
PUNCT PROPN NUM,279343
PROPN NUM VERB,23850
NUM VERB PART,1584
PROPN NUM CCONJ,21815
NUM CCONJ PROPN,11880
CCONJ PROPN NUM,20445
PROPN NUM AUX,9477
NUM AUX AUX,2358
VERB PUNCT ADV,27739
PUNCT DET NUM,42228
DET NUM ADJ,19578
PROPN NUM NUM,249631
