threshold,fpr,tpr
0.97679377,0.00152000,0.03592000
0.97673953,0.00152000,0.03600000
0.97662830,0.00152000,0.03648000
0.97662985,0.00152000,0.03640000
0.97656566,0.00152000,0.03656000
0.97663057,0.00152000,0.03632000
0.97667432,0.00152000,0.03608000
0.97667420,0.00152000,0.03616000
0.97666901,0.00152000,0.03624000
0.97654402,0.00160000,0.03656000
0.97639114,0.00160000,0.03704000
0.97642672,0.00160000,0.03696000
0.97637081,0.00160000,0.03720000
0.97644949,0.00160000,0.03688000
0.97637391,0.00160000,0.03712000
0.97618741,0.00160000,0.03752000
0.97615027,0.00160000,0.03760000
0.97602355,0.00160000,0.03768000
0.97599787,0.00160000,0.03776000
0.97598982,0.00160000,0.03784000
0.97649592,0.00160000,0.03664000
0.97646672,0.00160000,0.03672000
0.97645926,0.00160000,0.03680000
0.97588408,0.00160000,0.03816000
0.97588354,0.00160000,0.03824000
0.97583187,0.00160000,0.03832000
0.97580314,0.00160000,0.03840000
0.97577274,0.00160000,0.03848000
0.97629482,0.00160000,0.03728000
0.97627252,0.00160000,0.03736000
0.97621936,0.00160000,0.03744000
0.97597504,0.00160000,0.03800000
0.97598559,0.00160000,0.03792000
0.97594416,0.00160000,0.03808000
0.97572178,0.00160000,0.03856000
0.97556823,0.00168000,0.03880000
0.97555745,0.00168000,0.03888000
0.97557509,0.00168000,0.03872000
0.97569543,0.00168000,0.03856000
0.97554922,0.00168000,0.03896000
0.97565824,0.00168000,0.03864000
0.97553986,0.00176000,0.03896000
0.97552514,0.00176000,0.03904000
0.97545683,0.00176000,0.03912000
0.97539198,0.00176000,0.03928000
0.97544563,0.00176000,0.03920000
0.97507292,0.00184000,0.04048000
0.97505647,0.00184000,0.04056000
0.97504401,0.00184000,0.04064000
0.97504133,0.00184000,0.04072000
0.97501636,0.00184000,0.04080000
0.97533745,0.00184000,0.03960000
0.97531813,0.00184000,0.03968000
0.97529840,0.00184000,0.03976000
0.97489911,0.00184000,0.04120000
0.97489709,0.00184000,0.04128000
0.97488654,0.00184000,0.04136000
0.97487926,0.00184000,0.04144000
0.97511023,0.00184000,0.04024000
0.97509515,0.00184000,0.04032000
0.97508866,0.00184000,0.04040000
0.97471017,0.00184000,0.04240000
0.97466415,0.00184000,0.04248000
0.97465706,0.00184000,0.04256000
0.97483438,0.00184000,0.04160000
0.97484684,0.00184000,0.04152000
0.97481084,0.00184000,0.04168000
0.97473437,0.00184000,0.04216000
0.97473055,0.00184000,0.04232000
0.97473282,0.00184000,0.04224000
0.97496289,0.00184000,0.04104000
0.97497344,0.00184000,0.04096000
0.97534579,0.00184000,0.03936000
0.97521698,0.00184000,0.03992000
